X,Y
0.0,220.29590556831158
45.45454545454545,288.0208068160854
90.9090909090909,101.35784081284136
136.36363636363637,194.85250403241255
181.8181818181818,103.58786596364519
227.27272727272725,-51.2631663620202
272.72727272727275,340.63770724866436
318.1818181818182,112.47683999824913
363.6363636363636,136.37821593428959
409.09090909090907,-47.824610379483715
454.5454545454545,52.72982591558454
500.0,135.86620962185148
545.4545454545455,149.81986199031059
590.9090909090909,143.94738931040578
636.3636363636364,95.74797823044229
681.8181818181818,138.582460685
727.2727272727273,404.7912513058395
772.7272727272727,229.47959541256805
818.1818181818181,214.20235656242252
863.6363636363636,189.38844066055952
909.090909090909,123.3229115945659
954.5454545454545,213.58463458802288
1000.0,256.3846483329894
1045.4545454545455,422.19596252980546
1090.909090909091,155.6308054872755
1136.3636363636363,82.74462334118476
1181.8181818181818,435.4458985479471
1227.2727272727273,274.6479073845536
1272.7272727272727,352.8556993036983
1318.1818181818182,204.76136433055706
1363.6363636363635,417.58125033922096
1409.090909090909,296.19578273769747
1454.5454545454545,350.3137900835099
1500.0,295.45763351349353
1545.4545454545455,411.523726817232
1590.9090909090908,274.6226892391335
1636.3636363636363,388.55501993603156
1681.8181818181818,406.32117882370045
1727.2727272727273,223.9153598468033
1772.7272727272727,457.6033878636183
1818.181818181818,389.85767301650674
1863.6363636363635,348.7269385976426
1909.090909090909,321.5665219860166
1954.5454545454545,506.47918969092467
2000.0,557.3684348338758
2045.4545454545455,489.353775586716
2090.909090909091,423.8531319027167
2136.3636363636365,583.9420930053143
2181.818181818182,288.5090266141402
2227.272727272727,458.163436051573
2272.7272727272725,447.9432502259244
2318.181818181818,562.8025281784516
2363.6363636363635,425.81663695761836
2409.090909090909,441.2846982266599
2454.5454545454545,385.2554337944754
2500.0,586.1801438502588
2545.4545454545455,458.3548296119155
2590.909090909091,510.75711317183385
2636.3636363636365,458.942620093114
2681.8181818181815,546.0275535759033
2727.272727272727,602.7513403283014
2772.7272727272725,426.95330857778987
2818.181818181818,685.9855969485112
2863.6363636363635,495.4684275445511
2909.090909090909,640.9720363538711
2954.5454545454545,637.0868099769182
3000.0,437.02356678870234
3045.4545454545455,700.0608272709915
3090.909090909091,419.1625916576662
3136.3636363636365,501.16917657779413
3181.8181818181815,629.0361486348104
3227.272727272727,529.58471308164
3272.7272727272725,560.612313428797
3318.181818181818,534.008232118967
3363.6363636363635,589.2620701461643
3409.090909090909,629.2308526406008
3454.5454545454545,525.2575407957123
3500.0,568.8716345594152
3545.4545454545455,568.034648049909
3590.909090909091,570.9328020240786
3636.363636363636,521.9627879218232
3681.8181818181815,564.8447297047421
3727.272727272727,742.0466583385094
3772.7272727272725,689.4562521890499
3818.181818181818,759.1326665409752
3863.6363636363635,654.5343230707471
3909.090909090909,727.1648933624376
3954.5454545454545,715.5703966775329
4000.0,746.1255423088514
4045.4545454545455,825.694381881643
4090.909090909091,747.5294100865863
4136.363636363636,829.2598901066099
4181.818181818182,808.8153713797201
4227.272727272727,707.5041199187289
4272.727272727273,740.6451822436413
4318.181818181818,765.5226621008507
4363.636363636364,700.9316466675122
4409.090909090909,833.2933323019206
4454.545454545454,658.6291515055073
4500.0,837.040286539578
